한글명,영문명(INCI),CAS번호,카테고리,주요기능,출처/설명,이명,데이터출처
아스코빌메틸실란올펙티네이트,Ascorbyl Methylsilanol Pectinate,,식약처 등재,,이 원료는 아스코빅애씨드와 반응한 펙틴의 올리고머릭메틸실란올 유도체이다.,아스코빌메칠실란올펙티네이트,B (식약처)
아스코빌스테아레이트,Ascorbyl Stearate,,식약처 등재,,이 원료는 아스코빅애씨드와 스테아릭애씨드의 에스터이다.,,B (식약처)
아스코빌테트라이소팔미테이트,Ascorbyl Tetraisopalmitate,,식약처 등재,,이 원료는 주로 아스코빅애씨드와 이소팔미틱애씨드의 테트라에스터이다.,,B (식약처)
아스코빌토코페릴말리에이트,Ascorbyl Tocopheryl Maleate,,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
아스코빌팔미테이트,Ascorbyl Palmitate,,식약처 등재,,이 원료는 주로 아스코빅애씨드와 팔미틱애씨드의 에스터이다.,,B (식약처)
아스타잔틴,Astaxanthin,,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
아스파라거스뿌리추출물,Asparagus Officinalis Root Extract,,식약처 등재,,이 원료는 아스파라거스 (Asparagus officinalis)의 뿌리에서 추출한 것이다.,,B (식약처)
아스파라거스줄기추출물,Asparagus Officinalis Stem Extract,,식약처 등재,,이 원료는 아스파라거스 (Asparagus officinalis)의 줄기에서 추출한 것이다.,,B (식약처)
아스파라곱시스 아르마타추출물,Asparagopsis Armata Extract,,식약처 등재,,이 원료는 홍조류인 Asparagopsis armata에서 추출한 것이다.,,B (식약처)
쥐오줌풀뿌리추출물,Valeriana Fauriei Root Extract,8057-49-6,식약처 등재,,이 원료는 쥐오줌풀 Valeriana fauriei의 뿌리줄기에서 추출한 것이다.,길초근추출물,B (식약처)
아스파탐,Aspartame,,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
아스파틱애씨드,Aspartic Acid,,식약처 등재,,이 원료는 다음의 구조를 갖는 아미노산이다.,,B (식약처)
아스퍼질러스발효물,Aspergillus Ferment,,식약처 등재,,이 원료는 누룩곰팡이 (Aspergillus)의 발효로 얻은 물질이다.,,B (식약처)
아시네토박터발효물,Acinetobacter Ferment,,식약처 등재,,이 원료는 아시네토박터 발효물에서 얻은 물질이다.,,B (식약처)
아시아티코사이드,Asiaticoside,,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
아시아틱애씨드,Asiatic Acid,,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
아위뿌리추출물,Ferula Assa-Foetida Root Extract,90028-70-9,식약처 등재,,이 원료는 아위 Ferula assa foetida의 뿌리에서 추출한 것이다.,,B (식약처)
아이런티타늄옥사이드,Iron Titanium Oxide,12789-64-9,식약처 등재,,이 원료는 티타늄디옥사이드와 아이런옥사이드를 높은 온도에서 강열하여 얻은 무기화합물이다.,,B (식약처)
아이브라이트추출물,Euphrasia Officinalis Extract,,식약처 등재,,이 원료는 아이브라이트 (Euphrasia officinalis)의 전초에서 추출한 것이다.,,B (식약처)
아이슬란드이끼추출물,Cetraria Islandica Extract,,식약처 등재,,이 원료는 아이슬란드이끼 (Cetraria islandica)의 전초에서 추출한 것이다.,,B (식약처)
감자전분,Solanum Tuberosum (Potato) Starch,,식약처 등재,,이 원료는 감자(Potato) Solanum tuberosum로부터 얻은 폴리사카라이드이다.,,B (식약처)
스피드웰꽃/잎/줄기추출물,Veronica Officinalis Flower/Leaf/Stem Extract,,식약처 등재,,"이 원료는 스피드웰 Veronica officinalis의 꽃, 잎 및 줄기에서 추출한 것이다.",꼬리풀꽃/잎/줄기추출물,B (식약처)
아이오논,Ionone,,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
아이오다이즈드갈릭추출물,Iodized Garlic Extract,,식약처 등재,,이 원료는 요오드화한 마늘가루에서 추출한 것이다.,,B (식약처)
아이오도프로피닐부틸카바메이트,Iodopropynyl Butylcarbamate,,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
아이피디아이/피이지-15소이아민코폴리머,IPDI/PEG-15 Soyamine Copolymer,,식약처 등재,,이 원료는 이소포론디이소시아네이트와 피이지-15소이아민 모노머의 공중합체이다.,,B (식약처)
아이피디아이/피이지-15코카민/글리세레스-7/폴리글리세릴-3코폴리머,IPDI/PEG-15 Cocamine/Glycereth-7/Polyglyceryl-3 Copolymer,,식약처 등재,,"이 원료는 이소포론디이소시아네이트, 피이지-15코카민, 글리세레스-7 그리고 폴리글리세린-3 모노머의 공중합체이다.",,B (식약처)
뷰글추출물,Ajuga Turkestanica Extract,,식약처 등재,,이 원료는 뷰글 Ajuga turkestanica의 전초에서 추출한 것이다.,"버글추출물,아주가 투르케스타니카추출물",B (식약처)
아주라이트,Azurite,,식약처 등재,,이 원료는 주로 염기성 카퍼카보네이트로 구성된 미네랄이다.,,B (식약처)
브램블아카시아열매추출물,Acacia Victoriae Fruit Extract,,식약처 등재,,이 원료는 브램블아카시아 Acacia victoriae의 열매에서 추출한 것이다.,아카시아 빅토리아에열매추출물,B (식약처)
아크릴레이트/다이메티콘코폴리머,Acrylates/Dimethicone Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 다이메티콘의 공중합체이다.",아크릴레이트/디메치콘코폴리머,B (식약처)
스피드웰잎추출물,Veronica Officinalis Leaf Extract,,식약처 등재,,이 원료는 스피드웰 Veronica officinalis의 잎에서 추출한 것이다.,꼬리풀잎추출물,B (식약처)
아크릴레이트/다이메틸아미노에틸메타크릴레이트코폴리머,Acrylates/Dimethylaminoethyl Methacrylate Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 다이메틸아미노에틸메타크릴레이트의 공중합체이다.",아크릴레이트/디메칠아미노에칠메타크릴레이트코폴리머,B (식약처)
아크릴레이트/다이아세톤아크릴아마이드코폴리머,Acrylates/Diacetoneacrylamide Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 다이아세톤아크릴아마이드의 공중합체이다.",아크릴레이트/디아세톤아크릴아마이드코폴리머,B (식약처)
아크릴레이트/라우릴아크릴레이트/스테아릴아크릴레이트/에틸아민옥사이드메타크릴레이트코폴리머,Acrylates/Lauryl Acrylate/Stearyl Acrylate/Ethylamine Oxide Methacrylate Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 라우릴아크릴레이트, 스테아릴아크릴레이트, 에틸아민옥사이드메타크릴레이트의 공중합체이다.",아크릴레이트/라우릴아크릴레이트/스테아릴아크릴레이트/에칠아민옥사이드메타크릴레이트코폴리머,B (식약처)
아크릴레이트/베헤네스-25메타크릴레이트코폴리머,Acrylates/Beheneth-25 Methacrylate Copolymer,,식약처 등재,,"이 원료는 메타크릴릭애씨드 및 베헤네스-25의 에스터와 아크릴릭애씨드, 메타크릴릭애씨드 또는 그 단순에스터 중 1개 이상의 모노머로 이루어진 공중합체이다.",,B (식약처)
아크릴레이트/베헤닐아크릴레이트/다이메티콘메타크릴레이트코폴리머,Acrylates/Behenyl Acrylate/Dimethicone Methacrylate Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 베헤닐아크릴릭애씨드, 다이메티콘메타크릴릭애씨드의 공중합체이다.",아크릴레이트/베헤닐아크릴레이트/디메치콘메타크릴레이트코폴리머,B (식약처)
아크릴레이트/t-부틸아크릴아마이드코폴리머,Acrylates/t-Butylacrylamide Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 혹은 그것들의 단순한 에스터 중 하나로 구성된 한 개 이상의 모노머와 t-부틸아크릴아마이드의 공중합체이다.",,B (식약처)
아크릴레이트/브이에이코폴리머,Acrylates/VA Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 비닐 아세테이트의 공중합체이다.",,B (식약처)
아크릴레이트/브이피코폴리머,Acrylates/VP Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 비닐피롤리돈의 공중합체이다.",,B (식약처)
아크릴레이트/비닐아이소데카노에이트크로스폴리머,Acrylates/Vinyl Isodecanoate Crosspolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 폴리알케닐폴리에터로 가교된 그것들의 단순한 에스터 중 하나 이상의 모노머와 비닐아이소데카노에이트의 에스터의 공중합체이다.",아크릴레이트/비닐이소데카노에이트크로스폴리머,B (식약처)
아크릴레이트/C1-2석시네이트/하이드록시아크릴레이트코폴리머,Acrylates/C1-2 Succinates/Hydroxyacrylates Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 혹은 그것들의 단순한 에스터 중 하나로 구성된 한 개 이상의 모노머, 썩시닉애씨드의 C1-2에스터 및 하이드록시알킬아크릴레이트의 공중합체이다.",,B (식약처)
스피드웰추출물,Veronica Officinalis Extract,,식약처 등재,,이 원료는 스피드웰 Veronica officinalis의 전초에서 추출한 것이다.,꼬리풀추출물,B (식약처)
아크릴레이트/세테스-20이타코네이트코폴리머,Acrylates/Ceteth-20 Itaconate Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 혹은 그것들의 단순한 에스터 중 하나로 구성된 한 개 이상의 모노머와 이타코닉애씨드 및 세테스-20의 모노에스터에서 얻은 공중합체이다.",,B (식약처)
