한글명,영문명(INCI),CAS번호,카테고리,주요기능,출처/설명,이명,데이터출처
카나다발삼추출물,Abies Balsamea (Balsam Canada) Extract,85085-34-3,식약처 등재,,이 원료는 캐나다발삼 (Abies balsamea)에서 추출한 것이다.,발삼캐나다추출물,B (식약처)
발삼톨루수지,Myroxylon Balsamum (Balsam Tolu) Resin,"8011-89-0,9000-64-0",식약처 등재,,이 원료는 발삼톨루 (Myroxylon balsamum)에서 얻은 올레오레진이다.,,B (식약처)
밤껍질추출물,Castanea Crenata (Chestnut) Shell Extract,,식약처 등재,,이 원료는 밤나무 (Castanea crenata)의 밤껍질에서 추출한 것이다.,,B (식약처)
밤바라땅콩씨추출물,Voandzeia Subterranea Seed Extract,,식약처 등재,,이 원료는 밤바라 땅콩 Voandzeia subterranea의 씨에서 추출한 것이다.,밤바라땅콩추출물,B (식약처)
방사무늬돌김추출물,Porphyra Yezoensis Extract,,식약처 등재,,이 원료는 조류의 일종인 방사무늬돌김 Porphyra yezoensis에서 추출한 것이다.,,B (식약처)
방아풀잎/줄기추출물,Isodonis Japonicus Leaf/Stalk Extract,,식약처 등재,,이 원료는 방아풀 (Isodonis Japonicus)의 잎/줄기에서 추출한 것이다.,,B (식약처)
방풍뿌리추출물,"Saposhnikovia Divaricata Root Extract,Ledebouriella Seseloides Root Extract",,식약처 등재,,"이 원료는 방풍 Ledebouriella seseloides (=Saposhnikovia divaricata, Ledebouriella divaricata)의 뿌리에서 추출한 것이다.",방풍추출물,B (식약처)
배롱나무꽃추출물,Lagerstroemia Indica Flower Extract,,식약처 등재,,이 원료는 배롱나무 (Lagerstroemia indica)의 꽃에서 추출한 것이다.,,B (식약처)
배초향추출물,Agastache Rugosa Extract,,식약처 등재,,이 원료는 배초향 Agastache rugosa의 전초에서 추출한 것이다.,,B (식약처)
귤껍질가루,Citrus Unshiu Peel Powder,,식약처 등재,,이 원료는 귤 Citrus unshiu의 껍질을 건조하여 가루로 한 것이다.,,B (식약처)
백금가루,Platinum Powder,6/4/40,식약처 등재,,이 원료는 금속원소이다.,,B (식약처)
중국그라운드오키드구근추출물,Bletia Hyacinthina Bulb Extract,223748-10-5,식약처 등재,,이 원료는 중국그라운드오키드 Bletia hyacinthina의 구근에서 추출한 것이다.,백급추출물,B (식약처)
코치닐선인장꽃추출물,Opuntia Coccinellifera Flower Extract,90082-21-6,식약처 등재,,"이 원료는 코치닐선인장 Opuntia coccinellifera(=Nopalea cochenillifera=Opuntia cochenillifera )의 꽃에서 추출한 것이다.<BR/><BR/>* 코치닐선인장 정명 : Opuntia cochenillifera",백년초꽃추출물,B (식약처)
코치닐선인장열매추출물,Opuntia Coccinellifera Fruit Extract,,식약처 등재,,"이 원료는 코치닐선인장 Opuntia coccinellifera(=Nopalea cochenillifera=Opuntia cochenillifera )의 열매에서 추출한 것이다.<BR/><BR/>* 코치닐선인장 정명 : Opuntia cochenillifera",백년초열매추출물,B (식약처)
코치닐선인장추출물,Nopalea Cochenillifera Extract,,식약처 등재,,"이 원료는 코치닐선인장 Opuntia coccinellifera(=Nopalea cochenillifera=Opuntia cochenillifera )의 전체에서 추출한 것이다.<BR/><BR/>* 코치닐선인장 정명 : Opuntia cochenillifera",백년초추출물,B (식약처)
단향오일,Santalum Album (Sandalwood) Oil,8006-87-9,식약처 등재,,이 원료는 단향(Sandalwood) Santalum album의 심재에서 얻은 휘발성 오일이다.,백단향오일,B (식약처)
단향목부추출물,Santalum Album (Sandalwood) Wood Extract,84787-70-2,식약처 등재,,이 원료는 단향 Santalum album의 목부에서 추출한 것이다.,"백단향목부추출물,백단향추출물",B (식약처)
백량금추출물,Ardisia Crispa Extract,,식약처 등재,,이 원료는 백량금 Ardisia crispa의 전초에서 추출한 것이다.,,B (식약처)
가회톱뿌리가루,Ampelopsis Japonica Root Powder,,식약처 등재,,이 원료는 가회톱 Ampelopsis japonica의 뿌리를 건조하여 가루로 한 것이다.,백렴가루,B (식약처)
가회톱뿌리추출물,Ampelopsis Japonica Root Extract,,식약처 등재,,이 원료는 가회톱 Ampelopsis japonica의 뿌리에서 추출한 것이다.,백렴뿌리추출물,B (식약처)
갈락토아라비난,Galactoarabinan,9036-66-2,식약처 등재,,이 원료는 하나 또는 여러종의 잎갈나무속의 추출물에서 얻은 폴리사카라이드이다.,갈락토아란비난,B (식약처)
귤껍질추출물,Citrus Unshiu Peel Extract,98106-71-9 (generic),식약처 등재,,이 원료는 귤 Citrus unshiu의 껍질에서 추출한 것이다.,,B (식약처)
백리향추출물,Thymus Quinquecostatus Extract,91770-86-4(generic),식약처 등재,,이 원료는 백리향 Thymus quinquecostatus의 전초에서 추출한 것이다.,,B (식약처)
백산차추출물,Ledum Palustre Extract,90063-39-1,식약처 등재,,이 원료는 백산차 (Ledum palustre)의 전초에서 추출한 것이다.,,B (식약처)
백선뿌리추출물,Dictamnus Dasycarpus Root Extract,,식약처 등재,,이 원료는 백선 Dictamnus desycarpus의 뿌리에서 추출한 것이다.,백선피추출물,B (식약처)
백약자뿌리추출물,Stephania Cephalantha Root Extract,,식약처 등재,,이 원료는 백약자 Stephania Cephalantha의 뿌리에서 추출한 것이다.,백약자추출물,B (식약처)
구릿대뿌리가루,Angelica Dahurica Root Powder,,식약처 등재,,이 원료는 구릿대 Angelica dahurica의 뿌리를 건조하여 가루로 한 것이다.,백지가루,B (식약처)
구릿대뿌리추출물,Angelica Dahurica Root Extract,,식약처 등재,,이 원료는 구릿대 Angelica dahurica의 뿌리에서 추출한 것이다.,백지추출물,B (식약처)
큰꽃삽주뿌리가루,Atractylodes Macrocephala Root Powder,,식약처 등재,,이 원료는 큰꽃삽주 Atractyloides macrocephala의 뿌리를 건조하여 가루로 한 것이다.,백출가루,B (식약처)
삽주뿌리오일,Atractylodes Japonica Root Oil,,식약처 등재,,이 원료는 삽주 Atractylodes Japonica의 뿌리에서 얻은 오일이다.,백출오일,B (식약처)
삽주뿌리줄기추출물,Atractylodes Japonica Rhizome Extract,,식약처 등재,,이 원료는 삽주 Atractylodes japonica의 뿌리줄기에서 추출한 것이다.,백출추출물,B (식약처)
귤오일,Citrus Unshiu Fruit Oil,,식약처 등재,,이 원료는 귤 Citrus unshiu의 열매를 압착하여 얻은 휘발성 오일이다.,,B (식약처)
참나리꽃/잎/줄기추출물,Lilium Tigrinum Flower/Leaf/Stem Extract,,식약처 등재,,"이 원료는 참나리 Lilium tigrinum의 줄기, 잎 및 꽃에서 추출한 것이다.",백합꽃/잎/줄기추출물,B (식약처)
참나리추출물,Lilium Tigrinum Extract,,식약처 등재,,이 원료는 참나리 Lilium tigrinum의 전초에서 추출한 것이다.,백합추출물,B (식약처)
백화사설초추출물,Oldenlandia Diffusa Extract,,식약처 등재,,이 원료는 백화사설초 Oldenlandia diffusa의 전초에서 추출한 것이다.,,B (식약처)
계혈등줄기추출물,Mucuna Birdwoodiana Stem Extract,,식약처 등재,,이 원료는 계혈등 Mucuna birdwoodiana의 줄기에서 추출한 것이다.,백화유마등줄기추출물,B (식약처)
버독뿌리추출물,Arctium Majus Root Extract,84649-87-6,식약처 등재,,이 원료는 Arctium majus의 뿌리에서 추출한 것이다.,,B (식약처)
가는범꼬리뿌리추출물,Polygonum Bistorta Root Extract,84012-36-2,식약처 등재,,이 원료는 가는범꼬리 Polygonum bistorta의 뿌리에서 추출한 것이다.,범꼬리뿌리추출물,B (식약처)
세룰라타벚나무꽃추출물,Prunus Serrulata Flower Extract,,식약처 등재,,이 원료는 세룰라타벚나무 Prunus serrulata의 꽃에서 추출한 것이다.,벚꽃추출물,B (식약처)
세룰라타벚나무껍질추출물,Prunus Serrulata Bark Extract,,식약처 등재,,이 원료는 세룰라타벚나무 Prunus serrulata의 나무껍질에서 추출한 것이다.,벚나무껍질추출물,B (식약처)
베르가모트오일,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,"68648-33-9 ,8007-75-8,85049-52-1",식약처 등재,,이 원료는 베르가모트 (Bergamot) Citrus aurantium bergamia의 열매에서 추출한 소랄렌-프리 휘발성 오일이다.,베르가모트열매오일,B (식약처)
베르가모트추출물,Citrus Aurantium Bergamia (Bergamot) Fruit Extract,89957-91-5,식약처 등재,,이 원료는 베르가모트 (Bergamot) Citrus aurantium bergamia의 열매에서 추출한 것이다.,베르가모트열매추출물,B (식약처)
그리포니아씨추출물,Griffonia Simplicifolia Seed Extract,,식약처 등재,,이 원료는 그리포니아 Griffonia simplicifolia의 씨에서 추출한 것이다.,그리포니아 심플리시폴리아씨추출물,B (식약처)
베르가모트잎추출물,Citrus Aurantium Bergamia (Bergamot) Leaf Extract,,식약처 등재,,이 원료는 베르가모트 (Bergamot) Citrus aurantium bergamia의 잎에서 추출한 것이다.,,B (식약처)
베르가못잎추출물,Monarda Didyma Leaf Extract,,식약처 등재,,이 원료는 베르가못 Monarda didyma 잎에서 추출한 것이다.,,B (식약처)
에메이엔시스돌부채뿌리추출물,Bergenia Emeiensis Root Extract,,식약처 등재,,이 원료는 에메이엔시스돌부채 Bergenia emeiensis의 뿌리에서 추출한 것이다.,베르게니아 에메이엔시스뿌리추출물,B (식약처)
베르게닌,Bergenin,477-90-7,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
베르노니아 아펜디쿨라타잎추출물,Vernonia Appendiculata Leaf Extract,892873-85-7,식약처 등재,,이 원료는 Vernonia appendiculata 잎에서 추출한 것이다.,,B (식약처)
아메리카베스우드꽃추출물,Tilia Americana Flower Extract,90063-53-9,식약처 등재,,이 원료는 아메리카베스우드 Tilia americana의 꽃에서 추출한 것이다.,베스우드꽃추출물,B (식약처)
베어베리잎추출물,Arctostaphylos Uva-Ursi Leaf Extract,84776-10-3,식약처 등재,,이 원료는 베어베리 Arctostaphylos uva-ursi의 잎에서 추출한 것이다.,,B (식약처)
베이베리열매왁스,Myrica Cerifera (Bayberry) Fruit Wax,8038-77-5,식약처 등재,,이 원료는 베이베리나무 (Myrica cerifera)의 열매의 외피로부터 얻은 왁스이다.,,B (식약처)
베이베리열매추출물,Myrica Cerifera (Bayberry) Fruit Extract,84929-34-0,식약처 등재,,이 원료는 베이베리(Bayberry) Myrica cerifera의 열매에서 추출한 것이다.,,B (식약처)
베이잎오일,Pimenta Acris (Bay) Leaf Oil,8006-78-8,식약처 등재,,이 원료는 Pimenta acris의 잎을 증류하여 얻은 휘발성 오일이다.,,B (식약처)
글라우신,Glaucine,475-81-0,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
베타-글루칸,Beta-Glucan,"53238-80-5,55965-23-6,26874-89-5",식약처 등재,,이 원료는 β(1→6) 결합의 글루코오스 결가지를 갖는 β(1→3) 결합의 글루코오스로로 구성된 폴리사카라이드이다.,,B (식약처)
베타-시토스테롤,Beta-Sitosterol,83-46-5,식약처 등재,,이 원료는 다음의 구조를 갖는 스테롤이다.,,B (식약처)
베타인,Betaine,107-43-7,식약처 등재,,이 원료는 다음의 구조를 갖는 양쪽성 이온이다.,,B (식약처)
베타인살리실레이트,Betaine Salicylate,,식약처 등재,,이 원료는 살리실릭애씨드와 베타인의 반응으로 얻은 염이다.,,B (식약처)
베타-카로틴,"Beta-Carotene,CI 75130","116-32-5,7235-40-7,31797-85-0",식약처 등재,,이 원료는 천연 또는 합성으로 얻은 카로테노이드 화합물이다.,,B (식약처)
베타-카리오필렌,Beta-Caryophyllene,87-44-5,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
베티버뿌리오일,Vetiveria Zizanioides Root Oil,8016-96-4,식약처 등재,,이 원료는 베티버 Vetiveria zizanioides의 뿌리에서 얻은 휘발성오일이다.,,B (식약처)
베헤네스-5,Beheneth-5,136207-49-3,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 베헤닐알코올의 폴리에칠렌글라이콜에텔이다. n은 평균 5이다.,,B (식약처)
베헤네스-10,Beheneth-10,26636-40-8(generic),식약처 등재,,이 원료는 주로 다음의 구조를 갖는 베헤닐알코올의 폴리에칠렌글라이콜에텔이다. n은 평균 10이다.,,B (식약처)
베헤네스-20,Beheneth-20,26636-40-8(generic),식약처 등재,,이 원료는 주로 다음의 구조를 갖는 베헤닐알코올의 폴리에칠렌글라이콜에텔이다. n은 평균 20이다.,,B (식약처)
글라이신,Glycine,56-40-6,식약처 등재,,이 원료는 다음의 구조를 갖는 아미노산이다.,,B (식약처)
베헤네스-25,Beheneth-25,26636-40-8(generic),식약처 등재,,이 원료는 주로 다음의 구조를 갖는 베헤닐알코올의 폴리에칠렌글라이콜에텔이다. n은 평균 25이다.,,B (식약처)
베헤네스-30,Beheneth-30,26636-40-8(generic),식약처 등재,,이 원료는 주로 다음의 구조를 갖는 베헤닐알코올의 폴리에칠렌글라이콜에텔이다. n은 평균 30이다.,,B (식약처)
베헤노일스테아릭애씨드,Behenoyl Stearic Acid,,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
베헤녹시다이메티콘,Behenoxy Dimethicone,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 다이메틸실록세인 중합체이다.,베헤녹시디메치콘,B (식약처)
베헤닉애씨드,Behenic Acid,112-85-6,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 지방산이다.,,B (식약처)
베헤닐베타인,Behenyl Betaine,26920-62-7,식약처 등재,,이 원료는 다음의 구조를 갖는 양쪽성 이온이다.,,B (식약처)
베헤닐베헤네이트,Behenyl Behenate,17671-27-1,식약처 등재,,이 원료는 다음의 구조를 갖는 베헤닉애씨드와 베헤닐알코올의 에스터이다.,,B (식약처)
베헤닐알코올,Behenyl Alcohol,661-19-8,식약처 등재,,이 원료는 주로 n-도코산올로 구성된 지방알코올의 혼합물이다.,,B (식약처)
베헤닐피씨에이,Behenyl PCA,37673-38-4,식약처 등재,,이 원료는 다음의 구조를 갖는 베헤닐알코올과 피씨에이의 에스터이다.,,B (식약처)
베헨아미도프로필다이메틸아민,Behenamidopropyl Dimethylamine,"872429-01-1,60270-33-9",식약처 등재,,이 원료는 다음의 구조를 갖는 아미도아민이다.,베헨아미도프로필디메칠아민,B (식약처)
다이펩타이드-15,Dipeptide-15,556-50-3,식약처 등재,,이 원료는 글라이신으로 구성된 합성펩타이드이다.,글라이실글라이신,B (식약처)
베헨아미도프로필다이메틸아민베헤네이트,Behenamidopropyl Dimethylamine Behenate,125804-04-8,식약처 등재,,이 원료는 베헨아미도프로필다이메틸아민의 베헤닉애씨드염이다. 다음의 구조를 갖는다.,베헨아미도프로필디메칠아민베헤네이트,B (식약처)
베헨아미도프로필에틸다이모늄에토설페이트,Behenamidopropyl Ethyldimonium Ethosulfate,68797-65-9,식약처 등재,,이 원료는 다음의 구조를 갖는 4급 암모늄염이다.,베헨아미도프로필에칠디모늄에토설페이트,B (식약처)
베헨아미도프로필트라이모늄메토설페이트,Behenamidopropyltrimonium Methosulfate,,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,베헨아미도프로필트리모늄메토설페이트,B (식약처)
베헨아미도프로필피지-다이모늄클로라이드,Behenamidopropyl PG-Dimonium Chloride,136920-10-0,식약처 등재,,이 원료는 다음의 구조를 갖는 4급 암모늄염이다.,베헨아미도프로필피지-디모늄클로라이드,B (식약처)
베헨알코늄클로라이드,Behenalkonium Chloride,16841-14-8,식약처 등재,,이 원료는 다음의 구조를 갖는 4급 암모늄염이다.,,B (식약처)
베헨트라이모늄메토설페이트,Behentrimonium Methosulfate,"81646-13-1,241148-21-0",식약처 등재,,이 원료는 다음의 구조를 갖는 4급 암모늄염이다.,베헨트리모늄메토설페이트,B (식약처)
베헨트라이모늄클로라이드,Behentrimonium Chloride,17301-53-0,식약처 등재,,이 원료는 다음의 구조를 갖는 4급 암모늄염이다.,베헨트리모늄클로라이드,B (식약처)
벤잘코늄클로라이드,Benzalkonium Chloride,"61789-71-7,68391-01-5	,68424-85-1,8001-54-5,85409-22-9",식약처 등재,,이 원료는 주로 다음의 구조를 갖는 알킬벤질디메칠암모늄클로라이드의 혼합물이다.,,B (식약처)
벤제토늄클로라이드,Benzethonium Chloride,121-54-0,식약처 등재,,이 원료는 다음의 구조를 갖는 4급 암모늄염이다.,,B (식약처)
벤조구아나민,Benzoguanamine,91-76-9,식약처 등재,,이 원료는 다음의 구조를 갖는 헤테로사이클릭 화합물이다.,,B (식약처)
글리옥실릭애씨드,Glyoxylic Acid,298-12-4,식약처 등재,,이 원료는 다음의 구조를 갖는 유기산이다.,글라이옥실릭애씨드,B (식약처)
벤조익애씨드,Benzoic Acid,65-85-0,식약처 등재,,이 원료는 다음의 구조를 갖는 방향족 산이다.,,B (식약처)
벤조인나무검,Styrax Benzoin Gum,"9000-05-9,9000-72-0",식약처 등재,,이 원료는 벤조인나무 (Styrax benzoin)에서 얻은 발삼수지이다.,,B (식약처)
벤조인나무수지추출물,Styrax Benzoin Resin Extract,"84696-18-4,84929-79-3",식약처 등재,,이 원료는 벤조인나무 (Styrax benzoin)의 발삼 수지에서 추출한 것이다.,,B (식약처)
벤조페논-1,Benzophenone-1,131-56-6,식약처 등재,,이 원료는 다음의 구조를 갖는 벤조페논 유도체이다.,,B (식약처)
벤조페논-2,Benzophenone-2,131-55-5,식약처 등재,,이 원료는 다음의 구조를 갖는 벤조페논 유도체이다.,,B (식약처)
벤조페논-3,Benzophenone-3,131-57-7,식약처 등재,,이 원료는 다음의 구조를 갖는 벤조페논 유도체이다.,,B (식약처)
벤조페논-4,Benzophenone-4,4065-45-6,식약처 등재,,이 원료는 다음의 구조를 갖는 벤조페논 유도체이다.,,B (식약처)
벤조페논-5,Benzophenone-5,6628-37-1,식약처 등재,,이 원료는 다음의 구조를 갖는 벤조페논-4의 소듐염이다.,,B (식약처)
벤조페논-8,Benzophenone-8,131-53-3,식약처 등재,,이 원료는 다음의 구조를 갖는 벤조페논 유도체이다.,,B (식약처)
벤조페논-9,Benzophenone-9,76656-36-5,식약처 등재,,이 원료는 다음의 구조를 갖는 벤조페논 유도체이다.,,B (식약처)
글라이코리피드,Glycolipids,,식약처 등재,,"이 원료는 아실글리세롤, 스핑고리피드, 또는 세라마이드와 공유결합된 하나 혹은 그 이상의 탄수화물그룹을 포함하는 지질이다.",,B (식약처)
벤조페논-10,Benzophenone-10,1641-17-4,식약처 등재,,이 원료는 다음의 구조를 갖는 벤조페논 유도체이다.,,B (식약처)
벤조페논-11,Benzophenone-11,1341-54-4,식약처 등재,,"이 원료는 벤조페논-6, 벤조페논-2 및 다른 4곳이 치환된 벤조페논의 혼합물이다.",,B (식약처)
벤즈알데하이드,Benzaldehyde,100-52-7,식약처 등재,,이 원료는 다음의 구조를 갖는 방향족 알데하이드이다.,,B (식약처)
벤질니코티네이트,Benzyl Nicotinate,94-44-0,식약처 등재,,이 원료는 니코티닉애씨드와 벤질알코올의 에스터이며 다음의 구조를 갖는다.,,B (식약처)
벤질라우레이트,Benzyl Laurate,140-25-0,식약처 등재,,이 원료는 다음의 구조를 갖는 라우릭애씨드와 벤질알코올의 에스터이다.,,B (식약처)
벤질벤조에이트,Benzyl Benzoate,120-51-4,식약처 등재,,이 원료는 벤질알코올과 벤조익애씨드의 에스터이다.,,B (식약처)
벤질살리실레이트,Benzyl Salicylate,118-58-1,식약처 등재,,이 원료는 벤질알코올과 살리시릭애씨드의 에스터이다.,,B (식약처)
벤질신나메이트,Benzyl Cinnamate,103-41-3,식약처 등재,,이 원료는 벤질알코올과 신나믹애씨드의 에스터이다.,,B (식약처)
벤질아세테이트,Benzyl Acetate,"101-41-7,140-11-4",식약처 등재,,이 원료는 벤질알코올과 아세틱애씨드의 에스터이다.,,B (식약처)
글라이코사미노글리칸,Glycosaminoglycans,94945-04-7,식약처 등재,,이 원료는 글루쿠로닉애씨드 또는 갈락토오스와 함께 아미노 당(N-아세틸글루코사민 또는 N-아세틸갈락토사민)으로 이루어진 반복되는 다이사카라이드 단위로 구성된 긴 비분지형 폴리사카라이드이다.,글라이코스아미노글리칸,B (식약처)
벤질알코올,Benzyl Alcohol,100-51-6,식약처 등재,,이 원료는 다음의 구조를 갖는 방향족 알코올이다.,,B (식약처)
벤토나이트,"Bentonite,CI 77004",1302-78-9,식약처 등재,,이 원료는 천연의 수화된 콜로이드성 알루미늄실리케이트 점토이다.,,B (식약처)
벵골생강오일,Zingiber Cassumunar Root Oil,,식약처 등재,,이 원료는 벵골생강 (Zingiber cassumunar)의 뿌리에서 얻은 휘발성 오일이다.,,B (식약처)
벵골생강추출물,Zingiber Cassumunar Root Extract,,식약처 등재,,이 원료는 벵골생강 (Zingiber cassumunar)의 뿌리에서 추출한 것이다.,,B (식약처)
변성감자전분,Potato Starch Modified,,식약처 등재,,이 원료는 글루코오스 단위당 치환율이 0.1 이하인 감자전분과 할로에칠아미노디프로피오닉애씨드의 반응으로 얻은 에텔이다.,,B (식약처)
변성알코올,Alcohol Denat.,64-17-5,식약처 등재,,이 원료는 한 개 혹은 그 이상의 변성제로 변성시킨 에칠알코올이다.,,B (식약처)
변성알코올39-C,SD Alcohol 39-C,,식약처 등재,,이 원료는 미국 27CFR21에 따라 디에칠프탈레이트로 변성된 에칠알코올이다.,,B (식약처)
변성알코올40,SD Alcohol 40,61116-08-3,식약처 등재,,"이 원료는 미국 27CFR21에 따라 브루신(알칼로이드), 브루신설페이트 또는 콰신의 하나 이상의 조합과 t-부틸알코올로 변성된 에칠알코올이다.",,B (식약처)
에스디알코올40-B,SD Alcohol 40-B,,식약처 등재,,이 원료는 미국 27CFR21에 따라 데나토늄벤조에이트 및 t-부틸알코올로 변성된 에틸알코올이다.,변성알코올40-B,B (식약처)
변성옥수수전분,Corn Starch Modified,,식약처 등재,,"이 원료는 글루코스 당 치환율이 0.1 이하인 옥수수전분과 3-(도데세닐)디하이드로-2,5-퓨란디온의 반응으로 얻은 에스터의 칼슘염이다.",,B (식약처)
글라이코스핑고리피드,Glycosphingolipids,,식약처 등재,,이 원료는 스핑고지질 중추가 공유결합으로 연결된 탄수화물 그룹을 갖는 스핑고리피드이다.,,B (식약처)
별꽃추출물,Stellaria Media (Chickweed) Extract,90131-34-3,식약처 등재,,이 원료는 별꽃 (Stellaria media)에서 추출한 것이다.,,B (식약처)
병풀잎추출물,Centella Asiatica Leaf Extract,84696-21-9(generic),식약처 등재,,이 원료는 병풀 Centella asiatica의 잎에서 추출한 것이다.,,B (식약처)
병풀추출물,Centella Asiatica Extract,"84696-21-9,84776-24-9",식약처 등재,,이 원료는 병풀 (Centella asiatica)의 전초에서 추출한 것이다.,,B (식약처)
보론나이트라이드,Boron Nitride,10043-11-5,식약처 등재,,이 원료는 다음의 구조를 갖는 무기화합물이다.,,B (식약처)
보르네오탈로우씨버터,Shorea Stenoptera Seed Butter,,식약처 등재,,이 원료는 보르네오탈로우 Shorea stenoptera의 씨에서 얻은 지방이다.,보르네오탈로우씨드버터,B (식약처)
보르네올,Borneol,507-70-0,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
보리가루,Hordeum Vulgare Powder,85251-64-5,식약처 등재,,이 원료는 보리 Hordeum vulgare를 건조하여 가루로 한 것이다.,,B (식약처)
보리뿌리추출물,Hordeum Vulgare Root Extract,85251-64-5,식약처 등재,,이 원료는 보리 (Hordeum vulgare)의 뿌리에서 추출한 것이다.,,B (식약처)
보리수잎추출물,Elaeagnus Pungens Leaf Extract,,식약처 등재,,이 원료는 보리수 Elaeagnus pungens의 잎에서 추출한 것이다.,,B (식약처)
보리씨추출물,Hordeum Vulgare Seed Extract,85251-64-5,식약처 등재,,이 원료는 보리 (Hordeum vulgare)의 씨에서 추출한 것이다.,,B (식약처)
갈란투스씨추출물,Galanthus Nivalis Seed Extract,,식약처 등재,,이 원료는 갈란투스 Galanthus nivalis의 씨에서 추출한 것이다.,,B (식약처)
글라이코실트레할로오스,Glycosyl Trehalose,,식약처 등재,,"이 원료는 가수분해된 전분의 말단 환원부위에 글루코실트랜스퍼라아제로 1,1-글루코시딕 결합반응을 하여 얻은 물질이다.",글라이코실트레할로스,B (식약처)
보리잎추출물,Hordeum Vulgare Leaf Extract,85251-64-5,식약처 등재,,이 원료는 보리 (Hordeum vulgare)의 잎에서 추출한 것이다.,,B (식약처)
보리지씨오일,Borago Officinalis Seed Oil,225234-12-8,식약처 등재,,이 원료는 보리지 (Borago officinalis)의 씨에서 얻은 불휘발성 오일이다.,,B (식약처)
보리지에틸에스터,Borago Officinalis Ethyl Ester,,식약처 등재,,이 원료는 보리지 Borago officinalis 씨오일로부터 유래된 지방산의 에틸에스터이다.,보리지에칠에스터,B (식약처)
보리지추출물,Borago Officinalis Extract,84012-16-8,식약처 등재,,이 원료는 보리지 (Borago officinalis)의 전초에서 추출한 것이다.,,B (식약처)
발레이추출물,Hordeum Distichon (Barley) Extract,"85251-64-5,94349-67-4",식약처 등재,,이 원료는 발레이(Barley) Hordeum distichon의 전초에서 추출한 것이다.,보리추출물,B (식약처)
복령가루,Poria Cocos Powder,,식약처 등재,,이 원료는 균류의 일종인 복령 Poria cocos을 건조하여 가루로 한 것이다.,,B (식약처)
복령추출물,Poria Cocos Extract,,식약처 등재,,이 원료는 균류의 일종인 복령 Poria cocos에서 추출한 것이다.,복령추출물,B (식약처)
복분자딸기열매추출물,Rubus Coreanus Fruit Extract,,식약처 등재,,이 원료는 복분자딸기 Rubus coreanus의 열매에서 추출한 것이다.,복분자추출물,B (식약처)
복사나무꽃가루,Prunus Persica (Peach) Flower Powder,84012-34-0(generic),식약처 등재,,이 원료는 복사나무(Peach) Prunus persica의 꽃을 건조하여 가루로 한 것이다.,복숭아나무꽃가루,B (식약처)
복사나무꽃추출물,Prunus Persica (Peach) Flower Extract,84012-34-0(generic),식약처 등재,,이 원료는 복사나무(Peach) Prunus persica의 꽃에서 추출한 것이다.,복숭아나무꽃추출물,B (식약처)
글라이코젠,Glycogen,9005-79-2,식약처 등재,,이 원료는 D-글라이코피라노오스 잔기로 구성된 가지사슬구조를 갖는 고분자량의 중합체이며 세포 원형질에 분포한다.,,B (식약처)
복사나무잎추출물,Prunus Persica (Peach) Leaf Extract,84012-34-0,식약처 등재,,이 원료는 복사나무(Peach) Prunus persica의 잎에서 추출한 것이다.,복숭아나무잎추출물,B (식약처)
복숭아씨가루,Prunus Persica (Peach) Seed Powder,,식약처 등재,,이 원료는 복숭아 (Prunus persica)의 씨를 건조하여 얻은 가루이다.,,B (식약처)
복숭아즙,Prunus Persica (Peach) Juice,84012-34-0(generic),식약처 등재,,이 원료는 복숭아나무 (Prunus persica) 열매의 신선한 과육을 압착하여 얻은 액이다.,,B (식약처)
복숭아추출물,Prunus Persica (Peach) Fruit Extract,84012-34-0,식약처 등재,,이 원료는 복숭아나무 (Prunus persica)의 열매에서 추출한 것이다.,,B (식약처)
볼도잎추출물,Peumus Boldus Leaf Extract,,식약처 등재,,이 원료는 볼도 (Peumus boldus)의 잎에서 추출한 것이다.,,B (식약처)
봄빅스,Bombyx,,식약처 등재,,이 원료는 누에 (Bombyx mori)에서 추출한 추출물이다.,,B (식약처)
봉선화꽃/잎/줄기추출물,Impatiens Balsamina Flower/Leaf/Stem Extract,,식약처 등재,,"이 원료는 봉선화 (Impatiens balsamina)의 꽃, 잎과 줄기에서 추출한 것이다.",,B (식약처)
봉선화꽃추출물,Impatiens Balsamina Flower Extract,,식약처 등재,,이 원료는 봉선화 (Impatiens balsamin)의 꽃에서 추출한 것이다.,,B (식약처)
봉선화잎추출물,Impatiens Balsamina Leaf Extract,,식약처 등재,,이 원료는 봉선화 (Impatiens balsamina)의 잎에서 추출한 것이다.,,B (식약처)
봉작고사리잎추출물,Adiantum Capillus-Veneris Leaf Extract,84649-72-9,식약처 등재,,이 원료는 봉작고사리 Adiantum capillus- veneris의 잎에서 추출한 것이다.,,B (식약처)
